track_id,booster-blaze__stock,booster-blaze__baanblasterrockets_1__lightweightchassis_3__powerboosterkit_4__slicks_5__sportsteering_5__superchargermotor_5,jump-jet__stock,jump-jet__baanblasterrockets_1__lightweightchassis_3__powerboosterkit_4__slicks_5__sportsteering_5__superchargermotor_5,loop-king__stock,loop-king__baanblasterrockets_1__lightweightchassis_3__powerboosterkit_4__slicks_5__sportsteering_5__superchargermotor_5,grip-gt__stock,grip-gt__baanblasterrockets_1__lightweightchassis_3__powerboosterkit_4__slicks_5__sportsteering_5__superchargermotor_5,rocket-racer__stock,rocket-racer__baanblasterrockets_1__lightweightchassis_3__powerboosterkit_4__slicks_5__sportsteering_5__superchargermotor_5,booster-blaze__slicks_2,booster-blaze__slicks_3,booster-blaze__slicks_4,booster-blaze__slicks_5,booster-blaze__slicks_2__superchargermotor_2,booster-blaze__slicks_3__sportsteering_2__superchargermotor_2,jump-jet__slicks_2,jump-jet__slicks_3,jump-jet__slicks_4,jump-jet__slicks_5,jump-jet__slicks_2__superchargermotor_2,jump-jet__slicks_3__sportsteering_2__superchargermotor_2,loop-king__slicks_2,loop-king__slicks_3,loop-king__slicks_4,loop-king__slicks_5,loop-king__slicks_2__superchargermotor_2,loop-king__slicks_3__sportsteering_2__superchargermotor_2,grip-gt__slicks_2,grip-gt__slicks_3,grip-gt__slicks_4,grip-gt__slicks_5,grip-gt__slicks_2__superchargermotor_2,grip-gt__slicks_3__sportsteering_2__superchargermotor_2,rocket-racer__slicks_2,rocket-racer__slicks_3,rocket-racer__slicks_4,rocket-racer__slicks_5,rocket-racer__slicks_2__superchargermotor_2,rocket-racer__slicks_3__sportsteering_2__superchargermotor_2,fixture__starter,fixture__starterSlicks2,fixture__starterMid,fixture__starterFull,fixture__gripGtSlicks3,fixture__gripGtSlicks5,fixture__gripGtMax,fixture__jumpJetLight,fixture__jumpJetMax,fixture__loopKingMid,fixture__loopKingHigh,fixture__rocketRacerKit,fixture__rocketRacerMax,fixture__blazeSpeed5
track-01,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
track-02,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
track-03,fail,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,fail,pass,fail,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,fail
track-04,fail,pass,fail,pass,pass,pass,fail,fail,pass,pass,fail,fail,fail,fail,fail,fail,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,fail,fail,fail,fail,fail,pass,pass,pass,pass,pass,pass,fail,fail,fail,pass,fail,fail,fail,pass,pass,pass,pass,pass,pass,pass
track-05,fail,fail,fail,fail,fail,pass,pass,pass,fail,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,fail,pass,pass,fail,fail,fail,fail,fail,fail,pass,pass,pass,fail,fail,pass,pass,fail,pass,fail
track-06,fail,pass,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,fail,fail,fail,fail,fail,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass,pass,pass,pass,pass,pass,pass,pass
track-07,fail,fail,fail,fail,fail,pass,fail,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,fail,fail,fail,fail,fail,fail,fail
track-08,fail,pass,fail,fail,fail,fail,fail,fail,fail,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,fail,fail,fail,fail,fail,fail,fail,pass,pass,fail
track-09,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,pass,fail
track-10,fail,pass,fail,pass,fail,pass,fail,fail,fail,pass,fail,fail,fail,fail,fail,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,pass,fail,fail,fail,fail,fail,fail,fail,pass,pass,pass,pass,pass,fail,fail,fail,pass,fail,fail,fail,fail,pass,pass,pass,pass,pass,pass
track-11,fail,pass,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,fail,fail,fail,pass,pass,pass,pass,pass,pass,pass,pass,fail,fail,fail,pass,fail,fail,pass,fail,pass,pass,pass,pass,pass,pass
track-12,fail,fail,fail,pass,fail,pass,fail,pass,fail,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,fail,fail,fail,pass,fail,pass,fail
track-13,fail,pass,fail,pass,pass,pass,fail,pass,fail,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,pass,pass,pass,pass,pass,pass,fail,fail,fail,fail,fail,fail,fail,fail,pass,pass,pass,pass,fail,fail,fail,pass,fail,fail,pass,fail,pass,pass,pass,pass,pass,pass
track-14,fail,fail,fail,fail,fail,pass,pass,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,pass,fail,fail,pass,pass,pass,pass,pass,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,pass,pass,fail,fail,fail,pass,fail,fail,fail
track-15,fail,fail,fail,fail,fail,pass,fail,pass,fail,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,pass,fail,fail,fail,pass,fail,pass,fail
track-16,fail,pass,pass,pass,fail,pass,fail,fail,pass,pass,fail,fail,fail,fail,fail,fail,pass,pass,pass,pass,pass,pass,fail,fail,fail,fail,pass,pass,fail,fail,fail,fail,fail,fail,pass,pass,pass,pass,pass,pass,fail,fail,fail,pass,fail,fail,fail,pass,pass,pass,pass,pass,pass,pass
